"","realprice1","realprice2","realprice3","realprice4","br1","br2","br3","br4","residual.price.1","residual.price.2","residual.price.3","residual.price.4","min.dist.honda","min.dist.nissan","min.dist.toyota","min.dist.vw","DIST10.honda","DIST10.nissan","DIST10.toyota","DIST10.vw","TRADEMANUFACTURER","TRADENAME","TRADEMODEL","TRADEORIGIN","TRADEBODYTP","TRADECYLINDER","CUSTLATITUDE","CUSTLONGITUDE","ZIPCODE","brand"
"1958",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,1,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,17.6179074489744,8.94844658660805,9.72439206179353,32.182316273665,48.6662273411599,100.835254708231,101.09944631999,67.1306136073059,"Toyota","Lexus","ES 330","Asian","Sedan","6 Cyl",33.514704,-117.655021,92675,3
"1959",9.908475094,9.9965224185,9.9007742705,10.1309224423814,1,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,3.77679253249186,21.2455509962157,4.68684512155041,4.09589515005322,49.0524742144257,134.760108137063,133.563397390809,133.434269301394,"Honda","Honda","Civic","Asian","Sedan","4 Cyl",34.163169,-118.756141,91301,1
"1960",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,1.91331906015575,2.05565947430985,6.9263077453265,1.78633662099926,29.2494951941355,109.991931584324,105.145066597742,104.916491989237,"General Motors","Chevrolet","Malibu","Domestic","Sedan","6 Cyl",33.893279,-118.34497,90260,1
"1961",9.908475094,9.9965224185,9.9007742705,10.1309224423814,1,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,2.41813039910682,9.93078842769858,2.41753646202662,6.9445891461811,30.5433725191224,93.696416180361,93.2576559635425,92.6555437098464,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",33.855344,-118.041148,90623,1
"1962",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,1,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,2.44258688471503,7.0159693415537,5.66555972731437,1.63173077659371,39.0047000752075,119.914351185715,125.531223004017,125.031743867826,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",34.204765,-118.451555,91405,1
"1963",9.908475094,9.9965224185,9.9007742705,10.1309224423814,1,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,9.21027485896965,1.83559061458116,1.96602078862885,24.2853361865946,40.5084106377002,96.2118837378296,96.498128103828,70.0474394959612,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",33.61353,-117.748139,92637,3
"1964",9.908475094,9.9965224185,9.9007742705,10.1309224423814,1,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,2.33185549375097,4.95674831260898,7.30279005920442,10.4738320020132,29.4456133561361,108.9364413189,112.777819263009,112.234582993719,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",34.069742,-118.284284,90004,1
"1965",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,8.02972327962227,2.94314290037489,8.88667406858953,16.6140855461689,34.0325924338399,83.9170868717058,86.8623393347744,85.9320075722094,"Chrysler","Chrysler","Sebring","Domestic","Sedan","4 Cyl",33.844327,-117.832918,92807,1
"1966",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,7.88664497353195,7.77033396482874,7.15259467434438,10.5716254010601,23.5291894930872,101.78207112385,102.522435146256,101.998893309948,"General Motors","Chevrolet","Silverado 1500","Domestic","Pickup","8 Cyl",33.944962,-118.179146,90280,3
"1967",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,1,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,5.23159987257238,5.62575374850661,5.27119483784421,7.45349718675311,23.3466783964362,102.361219662503,100.16424322712,99.7465061425348,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",33.890431,-118.200397,90221,3
"1968",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,1,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,5.05239907894869,5.04060774516728,9.69193616103369,5.70749222381502,28.9302811544156,107.77760250796,106.945440638622,106.549816077531,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",33.961175,-118.290314,90044,3
"1970",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,1,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,1.92925996608916,5.04831782923591,1.84938841580107,7.70115513421756,25.7885369310289,106.289881643798,99.7971432479479,98.9227446276723,"Toyota","Toyota","RAV4","Asian","Sport Utility","4 Cyl",33.818298,-118.284078,90745,3
"1971",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,0,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,3.56772985591788,4.7561197346178,17.134495352502,14.9777705496055,42.845853413328,77.6814669113213,80.4569432423772,79.0023382453174,"Chrysler","Dodge","Caravan","Domestic","Van","4 Cyl",33.840307,-117.545185,92881,1
"2005",9.89071497370794,9.9727666615,9.916156956,10.0929147587832,0,0,0,0,-0.3587902142794,-0.231437833951801,0.0941308389936145,-0.0302538005719196,1.52074943375518,1.66161913811764,6.41950554159647,2.29007374862223,28.770721504469,109.578580386874,104.642263564771,104.411855450027,"Mercedes-Benz","Mercedes-Benz","S500","European","Sedan","8 Cyl",33.88837,-118.337861,90260,3
"2006",9.89071497370794,9.9727666615,9.916156956,10.0929147587832,0,0,0,0,-0.3587902142794,-0.231437833951801,0.0941308389936145,-0.0302538005719196,3.27434001637358,7.38391955081118,3.35483807105394,3.7191484321191,27.0334334023284,101.288428734163,96.6434841075983,96.2931551561174,"Kia","Kia","Spectra","Asian","Sedan","4 Cyl",33.833301,-118.187874,90807,1
"2026",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,1,0,0,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,13.1858202759878,14.2946153512411,17.3067124641074,23.3062777439242,49.4843352868201,83.1176579849533,83.3569639985791,76.3877879108073,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",33.731061,-117.432377,92883,1
"2027",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,0,0,1,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,1.09367348464234,0.95125743568555,4.84709322019219,4.66339892946255,26.3712603596867,106.985495918369,102.941246332781,102.647320357222,"Toyota","Toyota","Tacoma","Asian","Pickup","4 Cyl",33.887949,-118.288671,90247,3
"2028",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,1,0,0,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,9.22473797222431,1.28987825719432,1.77810327583569,25.4818581333898,40.5915457369201,93.4617797237528,93.7435261389001,70.4386831423108,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",33.642399,-117.703427,92630,1
"2029",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,0,0,0,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,6.67586555799403,12.0512895421099,11.0990555917314,2.15483448197561,42.691952298456,125.769624798631,128.736145596625,128.381634242724,"Chrysler","Chrysler","Sebring","Domestic","Coupe","6 Cyl",34.193048,-118.570904,91306,2
"2030",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,1,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,1.29631624051549,6.01959274079217,6.68640676586319,9.40261981006517,37.3627294804096,91.8258846735181,92.15694663919,85.7453210392936,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",33.772909,-117.967223,92844,1
"2031",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,1,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,4.88753291379437,9.16319612977601,9.97275145444641,12.6792609091781,27.3457718322829,102.823282782411,106.72610847739,106.110921013473,"Toyota","Toyota","Camry","Asian","Sedan","4 Cyl",34.017988,-118.181226,90023,3
"2032",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,1,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,2.6076093851387,10.5327155394878,2.62359376641959,7.24184505408758,29.7335896001396,94.1236308046503,94.1177058107263,93.5087979503837,"Toyota","Toyota","Camry","Asian","Sedan","4 Cyl",33.867066,-118.047524,90703,3
"2033",9.8932048395,9.8693101006103,9.88547632,10.2056577216,1,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,3.44495691796271,6.41569266350289,7.51483754138531,19.724501305787,35.1642061892171,88.5361688877167,88.8384855451037,78.5008832787228,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",33.745236,-117.775744,92782,1
"2034",9.8932048395,9.8693101006103,9.88547632,10.2056577216,1,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,1.02419826300964,22.1779725485977,20.687542891023,16.9679787596452,54.111029905208,130.366661396997,140.696671735441,140.107466442897,"Honda","Honda","Civic","Asian","Sedan","4 Cyl",34.41177,-118.565873,91355,1
"2035",9.8932048395,9.8693101006103,9.88547632,10.2056577216,1,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,14.297165938435,5.72560884489402,6.46218565036853,29.0379271733493,45.3650232163511,98.9347372313381,99.2075144667657,69.5632965138062,"Honda","Honda","Civic","Asian","Coupe","4 Cyl",33.553863,-117.691454,92677,2
"2036",9.8932048395,9.8693101006103,9.88547632,10.2056577216,1,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,4.43657032936683,19.9406355837251,30.1360166095026,11.0174685561784,56.06716889321,61.5009546103591,93.7568479695555,91.7992138904232,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",34.077922,-117.339072,92324,1
"2037",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,0,1,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,6.90415825931065,11.9491826323642,4.18356317902,10.4795873458485,24.8270565299001,97.0586927400495,99.4620782822638,98.820472318877,"Volkswagen","Volkswagen","Passat","European","Sedan","4 Cyl",33.938195,-118.090278,90670,2
"2038",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,10.5555500399969,14.1203398227953,24.020875025182,4.81773277694133,49.5202209530309,66.3441285466871,92.7825404886879,91.0245284458312,"General Motors","Chevrolet","Cavalier","Domestic","Sedan","4 Cyl",34.04567,-117.455483,92337,4
"2039",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,1,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,6.92681669447524,9.26340873721013,7.7723504314704,6.17479093376711,40.757731419162,118.650107466832,127.317622478383,126.699169450951,"Nissan","Nissan","Altima","Asian","Sedan","4 Cyl",34.263135,-118.402143,91331,2
"2040",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,1,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,11.4157270244484,16.0584479682092,3.87297198240096,5.04829521830174,27.6890034459092,91.4940364870934,101.292984902055,100.345420558711,"Nissan","Nissan","Altima","Asian","Sedan","4 Cyl",34.029746,-117.958277,91744,4
"2041",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,0,1,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,5.30356183494576,27.9595390107007,38.4252774139891,19.5150132236165,64.6407951456419,62.1329572053987,95.4035127185574,93.2043685222335,"Volkswagen","Volkswagen","Beetle","European","Convertible","4 Cyl",34.115944,-117.185046,92346,4
"2042",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,13.0927318962254,14.6349855739862,21.7855676880547,20.9636573297689,52.2472354178429,78.7567975152024,82.5397824819072,79.3380157437107,"Ford","Ford","Explorer","Domestic","Sport Utility","8 Cyl",33.784598,-117.371199,92570,1
"2043",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,5.38509185164487,27.7861034824185,37.7098309969531,18.9265636455172,64.1138558891859,61.3302874502618,96.2464820488325,94.0669438671853,"Chrysler","Dodge","Stratus","Domestic","Sedan","4 Cyl",34.127288,-117.199994,92346,1
"2052",9.908475094,9.9965224185,9.9007742705,10.1309224423814,0,0,1,0,-0.647496196214554,1.06745915301023,-0.0679657340800962,0.954130838286938,18.0763897661576,19.396377937351,3.27037098164034,2.4053281434849,30.3354904177042,89.6848124857956,104.975048943691,103.840762152387,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",34.115543,-117.890272,91702,3
